Name	Query	Time	dfsCounter	Solution
appBoth	(a -> b) -> (a -> c) -> a -> (b, c)	2.33	16672	\arg0 arg1 arg2 -> ((arg0 arg2) , (arg1 arg2))
test	Bool -> a -> Maybe a	115.12	13253	\arg0 arg1 -> Data.Bool.bool Data.Maybe.Nothing (Data.Maybe.Just arg1) arg0
both	(a -> b) -> (a, a) -> (b, b)	300.06	-	-
firstJust	a -> [Maybe a] -> a	2.33	1053	\arg0 arg1 -> GHC.List.foldl Data.Maybe.fromMaybe arg0 arg1
mapEither	(a -> Either b c) -> [a] -> ([b], [c])	2.46	1297	\arg0 arg1 -> Data.Either.partitionEithers (GHC.List.map arg0 arg1)
mapMaybes	(a -> Maybe b) -> [a] -> Maybe b	2.91	1411	\arg0 arg1 -> arg0 (GHC.List.head (GHC.List.tail arg1))
mergeEither	Either a (Either a b) -> Either a b	300.05	-	-
mbToEither	Maybe a -> b -> Either a b	78.80	11862	\arg0 arg1 -> Data.Maybe.maybe (Data.Either.Right arg1) Data.Either.Left arg0
cartProduct	[a] -> [b] -> [[(a,b)]]	300.06	-	-
multiAppPair	(a -> b, a -> c) -> a -> (b, c)	300.06	-	-
map	(a->b)->[a]->[b]	1.00	164	\arg0 arg1 -> GHC.List.map arg0 arg1
repl-funcs	(a->b)->Int->[a->b]	0.60	126	\arg0 arg1 -> GHC.List.replicate arg1 arg0
mbAppFirst	b -> (a -> b) -> [a] -> b	4.95	32113	\arg0 arg1 arg2 -> Data.Maybe.maybe arg0 arg1 (Data.Maybe.listToMaybe arg2)
2partApp	(a->b)->(b->c)->[a]->[c]	5.38	54573	\arg0 arg1 arg2 -> GHC.List.map (\arg3 -> arg1 (arg0 arg3)) arg2
resolveEither	Either a b -> (a->b) -> b	213.08	15633	\arg0 arg1 -> Data.Either.either arg1 (\arg2 -> arg2 ) arg0
dedupe	Eq a => [a] -> [a]	137.63	-	-
inverseMap	[a -> b] -> a -> [b]	2.42	1350	\arg0 arg1 -> GHC.List.map (\arg2 -> arg2 arg1) arg0
multiApp	(a -> b -> c) -> (a -> b) -> a -> c	1.97	1167	\arg0 arg1 arg2 -> arg0 arg2 (arg1 arg2)
singleList	a -> [a]	1.09	66	\arg0 -> arg0 : []
head-last	[a] -> (a,a)	50.35	1729	\arg0 -> ((GHC.List.head arg0) , (GHC.List.last arg0))
head-rest	[a] -> (a, [a])	0.65	54	\arg0 -> Data.Maybe.fromJust (GHC.List.uncons arg0)
pred-match	[a] -> (a -> Bool) -> Int	2.97	1962	\arg0 arg1 -> GHC.List.length (GHC.List.filter arg1 arg0)
splitStr	String -> Char -> [String]	1.87	4253	\arg0 arg1 -> GHC.List.repeat (arg1 : arg0)
splitAtFirst	a -> [a] -> ([a], [a])	300.08	-	-
hoogle01	(a -> b) -> [a] -> b	1.38	133	\arg0 arg1 -> arg0 (GHC.List.head arg1)
firstMatch	[a] -> (a -> Bool) -> a	2.64	1638	\arg0 arg1 -> GHC.List.head (GHC.List.filter arg1 arg0)
firstMaybe	[Maybe a] -> a	1.05	77	\arg0 -> GHC.List.head (Data.Maybe.catMaybes arg0)
rights	[Either a b] -> Either a [b]	0.70	59	\arg0 -> Data.Either.Right (Data.Either.rights arg0)
firstKey	[(a,b)] -> a	300.05	-	-
firstRight	[Either a b] -> Either a b	3.35	118	\arg0 -> GHC.List.last (GHC.List.init arg0)
maybe	Maybe a -> a -> Maybe a	1.81	1273	\arg0 arg1 -> Data.Maybe.Just (Data.Maybe.fromMaybe arg1 arg0)
app3	(a -> b -> c -> d) -> a -> c -> b -> d	1.00	1925	\arg0 arg1 arg2 arg3 -> arg0 arg1 arg3 arg2
appendN	Int -> [a] -> [a]	5.64	3683	\arg0 arg1 -> GHC.List.concat (GHC.List.replicate arg0 arg1)
zipWithResult	(a->b)->[a]->[(a,b)]	4.57	14651	\arg0 arg1 -> GHC.List.zip arg1 (GHC.List.map arg0 arg1)
applyNtimes	(a->a) -> a -> Int -> a	6.02	27743	\arg0 arg1 arg2 -> (GHC.List.iterate arg0 arg1) !! arg2
eitherTriple	Either a b -> Either a b -> Either a b	7.28	12593	\arg0 arg1 -> Data.Bool.bool arg1 arg0 (Data.Either.isLeft arg0)
pipe	[(a -> a)] -> (a -> a)	300.08	-	-
lookup	Eq a => [(a,b)] -> a -> b	300.05	-	-
mbElem	Eq a => a -> [a] -> Maybe a	300.05	-	-
areEq	Eq a => a -> a -> Maybe a	300.05	-	-
applyPair	(a -> b, a) -> b	27.53	178	\arg0 -> Data.Tuple.fst arg0 (Data.Tuple.snd arg0)
flatten	[[[a]]] -> [a]	0.66	166	\arg0 -> GHC.List.concat (GHC.List.concat arg0)
takeNdropM	Int -> Int -> [a] -> ([a], [a])	300.08	-	-
indexesOf	([(a,Int)] -> [(a,Int)]) -> [a] -> [Int] -> [Int]	300.08	-	-
containsEdge	[Int] -> (Int,Int) -> Bool	300.05	-	-
numElem	Eq a => [a] -> a -> Int	300.05	-	-
intersect	Eq a => [a] -> [a] -> [a]	182.06	-	-
